file,SSIM,ΔE00,LPIPS,Ref_paths,Pip_paths,Ref_cmds,Pip_cmds,Ref_gzip,Pip_gzip,Size_Reduction
177,0.1976291765679658,34.68469728336443,0.6906919479370117,333,0,1982109,0,388901,1385,99.64386823381786
178,0.29809711032651043,30.183058779148812,0.5963467955589294,244,0,1486084,0,286829,1446,99.49586687538569
179,0.26190765996553556,30.395936239131863,0.6255093812942505,354,0,2114575,0,394780,1057,99.73225594001723
180,0.31211467806797405,26.13407179177445,0.5523027181625366,189,0,987596,0,179305,1184,99.33967262485709
181,0.23446356996172465,34.37727076126899,0.5879257917404175,161,0,961345,0,165249,1464,99.1140642303433
182,0.19080324748748245,30.167220645390216,0.6355499625205994,358,0,2089043,0,390026,2388,99.38773312548395
183,0.24447685316372006,28.52730425040433,0.6046220064163208,204,0,1197438,0,208266,1273,99.3887624480232
184,0.2841533700528284,29.755448299951336,0.715703547000885,161,0,3151841,0,393445,750,99.80937615168574
185,0.3508433100744601,26.07725634623229,0.6086357235908508,320,0,3727050,0,582827,750,99.87131687447561
186,0.2518008678565184,28.75318359056016,0.6497117280960083,578,0,2859021,0,552522,1306,99.76362932154737
187,0.19691081780657405,28.445936172979614,0.6246121525764465,393,0,2389376,0,423532,963,99.77262638950539
188,0.21844061317055186,27.92925439142681,0.6254701614379883,419,0,3381250,0,543781,1072,99.80286181385522
189,0.22711358458715714,30.912915029020937,0.567435622215271,202,0,769534,0,156542,2139,98.63359354039171
190,0.31057094151804754,26.781739204715116,0.6443420052528381,401,0,3175411,0,540181,725,99.86578572737656
191,0.19615874951707085,30.647658369110772,0.6393042802810669,380,0,2004106,0,380627,3540,99.06995562584893
192,0.15152601646343344,30.71529655753544,0.661794900894165,316,0,1791523,0,378539,1982,99.4764079790986
193,0.31013736746609716,27.2534808424878,0.6065713167190552,276,0,2102737,0,345595,638,99.81539084766851
194,0.3000918415862919,28.435801237937017,0.5415098667144775,124,0,751772,0,120710,1614,98.66291110927014
195,0.07062845325789645,34.44308112505862,0.7001937627792358,306,0,1510992,0,306766,2754,99.10224731554345
196,0.11997913059064606,32.50198668600782,0.6685202121734619,363,0,1793419,0,373089,3217,99.1377392525644
197,0.18417462401949478,32.91719899824261,0.6956170201301575,456,0,2632956,0,488410,2197,99.55017301038063
198,0.2527844507685173,30.634420110016492,0.617840051651001,191,0,1306542,0,249742,2357,99.05622602525807
199,0.19243466238757845,33.57028040961122,0.6871963739395142,322,0,2006753,0,370615,2667,99.28038530550572
200,0.24779173350890374,32.38607323950227,0.6472672820091248,314,0,1655375,0,310365,1975,99.36365247370033
201,0.3098154290131387,30.476673936979452,0.6089614033699036,223,0,1528516,0,260897,1586,99.3920972644377
202,0.11632219457252803,34.109803597473025,0.6311519742012024,518,0,2795331,0,537382,4529,99.15721032710437
203,0.03903256319871078,58.21019525006625,0.6661946773529053,112,0,439948,0,87897,1757,98.00106943354153
204,0.2017024960318438,32.85868674691116,0.6428358554840088,352,0,1878151,0,352706,1343,99.61922961333235
205,0.16940128795947818,32.86509974859456,0.7034854292869568,330,0,1796362,0,355416,3878,98.90888423706305
206,0.21930401176247816,30.07638186944878,0.629791796207428,223,0,1000668,0,197089,1973,98.99892941767425
207,0.24370824228546809,28.80698607454802,0.6239833831787109,109,0,297341,0,51614,1454,97.18293486263417
208,0.30824969399713303,30.281308969993354,0.5927210450172424,66,0,176661,0,35656,687,98.0732555530626
209,0.11860219656339557,30.007789715967768,0.7113850712776184,695,0,3486472,0,661028,2645,99.5998656637843
210,0.31608618027333746,29.214323474727173,0.5540065765380859,160,0,897150,0,164233,1081,99.34178880005845
211,0.22549736574620252,28.308873713749804,0.5911704301834106,282,0,1591499,0,280931,712,99.74655698374335
212,0.34774020473298584,27.369443617949017,0.504967212677002,81,0,155583,0,31956,2361,92.61171610965077
213,0.18735231683876347,34.14261406744262,0.6507976055145264,204,0,1169648,0,250015,2007,99.1972481651101
214,0.2846801441187241,30.884276630002635,0.5899399518966675,81,0,469457,0,103130,1634,98.41559197129837
215,0.24577314187683827,31.321948200287263,0.6239046454429626,303,0,1752202,0,338081,2081,99.38446703600616
216,0.20308829296144734,30.082820074468128,0.6180341839790344,307,0,1625714,0,304181,1924,99.36748186112874
217,0.23895340667907863,31.048390335174442,0.6555598974227905,302,0,1983186,0,374859,2120,99.4344540213787
218,0.11019455067567038,38.9460919974314,0.6957082748413086,415,0,1963713,0,418145,3516,99.159143359361
219,0.20650175009797322,33.95344281769999,0.640101969242096,214,0,1033149,0,235752,2757,98.83055074824392
220,0.2513201234374886,31.017204342472976,0.6240903735160828,253,0,1559565,0,286520,998,99.65168225603797
221,0.12466660552070276,32.56015440162432,0.6891515254974365,375,0,1871242,0,406705,4575,98.87510603508686
222,0.3038303058645853,29.044162834287917,0.5047012567520142,119,0,362749,0,75658,2878,96.19604007507468
223,0.14495043483814984,31.42891798840807,0.6386570930480957,295,0,1060398,0,229042,3373,98.5273443298609
224,0.18800977120584692,32.844882616243666,0.6708931922912598,268,0,1361815,0,288912,2793,99.03326964612062
225,0.23604129382218594,31.88700689129633,0.6255578994750977,158,0,1013972,0,212454,1907,99.10239392998014
226,0.30749535850132736,30.936783455700215,0.5632410049438477,228,0,1132491,0,202602,1235,99.39043049920534
227,0.36747436525086435,27.50227329433152,0.49137014150619507,44,0,87135,0,20184,870,95.6896551724138
228,0.30332322876089196,30.897063089595,0.5754873752593994,267,0,1480375,0,273224,1491,99.45429391268704
229,0.3024688741783439,31.153173415906565,0.5443979501724243,149,0,889677,0,148578,1881,98.73399830392118
230,0.16480216320432828,33.3835689128472,0.675653874874115,296,0,1515834,0,312988,4377,98.60154382915638
231,0.2999548002354654,28.20193081369724,0.560918390750885,101,0,704284,0,122447,1732,98.58551046575253
232,0.36124035298852203,25.984140353808062,0.5086601376533508,82,0,392433,0,78221,674,99.13833880927116
233,0.269957117020661,29.539980450523394,0.6132930517196655,311,0,1959931,0,378021,1346,99.64393512529726
234,0.17474664085120006,34.54167981116835,0.6987506151199341,262,0,1657504,0,306520,2173,99.29107399190917
235,0.2826466520742684,32.260048587991264,0.5950425267219543,211,0,1533100,0,274941,1393,99.49334584510858
236,0.23534952882917717,34.271381369131625,0.6357783079147339,145,0,1598875,0,222077,996,99.55150690976554
237,0.30404497032069694,31.00621215185951,0.6052881479263306,151,0,1871093,0,251508,691,99.72525724827838
238,0.2973037478779995,25.94830540923103,0.5528830289840698,212,0,709727,0,140151,1015,99.27578112179008
239,0.3107196668807427,29.88829081307537,0.5516591668128967,77,0,242920,0,44435,1020,97.70451220884438
